[0, 513.5534]
[0.8547, 224.8926]
[0.8555, 439.4881]
[0.8562, 412.1736]
[0.857, -134.7206]
[0.8578, -470.7842]
[0.8586, -382.1283]
[0.8594, -69.174]
[0.8602, 454.9375]
[0.8609, 429.0628]
[0.8617, 61.2039]
[0.8625, -318.1844]
[0.8633, -567.3374]
[0.8641, -170.4453]
[0.8648, 256.4772]
[0.8656, 443.6884]
[0.8664, 316.2311]
[0.8672, -265.1005]
[0.868, -485.2957]
[0.8687, -357.1687]
[0.8695, 30.3898]
[0.8703, 504.4236]
[0.8711, 355.7868]
[0.8719, -6.8614]
[0.8727, -397.0525]
[0.8734, -529.842]
[0.8742, -50.3424]
[0.875, 316.9509]
[0.8758, 476.5741]
[0.8766, 235.1674]
[0.8773, -336.0817]
[0.8781, -447.5828]
[0.8789, -283.2679]
[0.8797, 176.4452]
[0.8805, 560.3489]
[0.8812, 314.7217]
[0.882, -39.5065]
[0.8828, -430.8224]
[0.8836, -425.3267]
[0.8844, 95.2578]
[0.8852, 405.0078]
[0.8859, 526.0011]
[0.8867, 168.0899]
[0.8875, -351.3968]
[0.8883, -372.3052]
[0.8891, -167.192]
[0.8898, 348.3196]
[0.8906, 609.9854]
[0.8914, 297.7163]
[0.8922, -54.2574]
[0.893, -426.983]
[0.8937, -276.0299]
[0.8945, 244.2176]
[0.8953, 504.7759]
[0.8961, 566.9855]
[0.8969, 104.3124]
[0.8977, -330.6673]
[0.8984, -283.8533]
[0.8992, -28.0091]
[0.9, 513.5534]
[0.9008, 634.3555]
[0.9016, 284.4791]
[0.9023, -75.6512]
[0.9031, -401.6666]
[0.9039, -114.6163]
[0.9047, 370.8654]
[0.9055, 591.9935]
[0.9062, 570.8443]
[0.907, 29.733]
[0.9078, -300.9437]
[0.9086, -207.3102]
[0.9094, 110.2006]
[0.9102, 638.4364]
[0.9109, 616.244]
[0.9117, 251.6164]
[0.9125, -124.9993]
[0.9133, -371.845]
[0.9141, 26.8834]
[0.9148, 455.1667]
[0.9156, 643.2602]
[0.9164, 516.2043]
[0.9172, -65.2076]
[0.918, -285.9647]
[0.9187, -158.8798]
[0.9195, 227.159]
[0.9203, 699.199]
[0.9211, 548.0991]
[0.9219, 182.5246]
[0.9227, -211.049]
[0.9234, -347.6692]
[0.9242, 127.5608]
[0.925, 490.1559]
[0.9258, 644.6638]
[0.9266, 397.7368]
[0.9273, -179.4243]
[0.9281, -297.2148]
[0.9289, -139.5515]
[0.9297, 313.1636]
[0.9305, 689.7401]
[0.9312, 436.474]
[0.932, 74.3135]
[0.9328, -325.2088]
[0.9336, -328.174]
[0.9344, 183.7156]
[0.9352, 484.5575]
[0.9359, 596.4511]
[0.9367, 229.2705]
[0.9375, -299.633]
[0.9383, -330.0829]
[0.9391, -134.6129]
[0.9398, 371.177]
[0.9406, 623.066]
[0.9414, 300.9887]
[0.9422, -60.8013]
[0.943, -443.3272]
[0.9437, -302.1352]
[0.9445, 208.4143]
[0.9453, 459.3606]
[0.9461, 512.0678]
[0.9469, 40.0245]
[0.9477, -404.1705]
[0.9484, -366.3947]
[0.9492, -119.3899]
[0.95, 413.5534]
[0.9508, 525.9772]
[0.9516, 167.9836]
[0.9523, -199.9833]
[0.9531, -533.5358]
[0.9539, -253.7048]
[0.9547, 224.8926]
[0.9555, 439.4881]
[0.9562, 412.1736]
[0.957, -134.7206]
[0.9578, -470.7842]
[0.9586, -382.1283]
[0.9594, -69.174]
[0.9602, 454.9375]
[0.9609, 429.0628]
[0.9617, 61.2039]
[0.9625, -318.1844]
[0.9633, -567.3374]
[0.9641, -170.4453]
[0.9648, 256.4772]
[0.9656, 443.6884]
[0.9664, 316.2311]
[0.9672, -265.1005]
[0.968, -485.2957]
[0.9687, -357.1687]
[0.9695, 30.3898]
[0.9703, 504.4236]
[0.9711, 355.7868]
[0.9719, -6.8614]
[0.9727, -397.0525]
[0.9734, -529.842]
[0.9742, -50.3424]
[0.975, 316.9509]
[0.9758, 476.5741]
[0.9766, 235.1674]
[0.9773, -336.0817]
[0.9781, -447.5828]
[0.9789, -283.2679]
[0.9797, 176.4452]
[0.9805, 560.3489]
[0.9812, 314.7217]
[0.982, -39.5065]
[0.9828, -430.8224]
[0.9836, -425.3267]
[0.9844, 95.2578]
[0.9852, 405.0078]
[0.9859, 526.0011]
[0.9867, 168.0899]
[0.9875, -351.3968]
[0.9883, -372.3052]
[0.9891, -167.192]
[0.9898, 348.3196]
[0.9906, 609.9854]
[0.9914, 297.7163]
[0.9922, -54.2574]
[0.993, -426.983]
[0.9937, -276.0299]
[0.9945, 244.2176]
[0.9953, 504.7759]
[0.9961, 566.9855]
[0.9969, 104.3124]
[0.9977, -330.6673]
[0.9984, -283.8533]
[0.9992, -28.0091]
